country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
CAN,Short Track Speed Skating,Men's 500m,0.0,0.0,1.0,1.0,William Dandjinou,0.0
CAN,Short Track Speed Skating,Men's 1000m,0.0,0.0,1.0,1.0,William Dandjinou,0.0
CAN,Short Track Speed Skating,Men's 1500m,1.0,0.0,0.0,1.0,Steven Dubois,1.0
CAN,Bobsleigh,Four-Man Bobsled,1.0,0.0,0.0,1.0,Justin Kripps,1.0
CAN,Curling,Men's Curling,1.0,0.0,0.0,1.0,Brad Gushue,1.0
CAN,Ice Hockey,Women's Ice Hockey,1.0,0.0,0.0,1.0,Team Canada,1.0
CAN,Curling,Mixed Doubles Curling,0.0,0.0,1.0,1.0,Team Canada,0.0
CAN,Speed Skating,Women's 1500m,0.0,0.0,1.0,1.0,Ivanie Blondin,0.0
CHN,Freestyle Skiing,Men's Aerials,0.0,0.0,1.0,1.0,Qi Guangpu,0.0
CHN,Freestyle Skiing,Women's Aerials,0.0,1.0,0.0,1.0,Xu Mengtao,0.0
CHN,Freestyle Skiing,Women's Halfpipe,1.0,0.0,0.0,1.0,Eileen Gu,1.0
CHN,Snowboard,Women's Halfpipe,0.0,1.0,0.0,1.0,Xuetong Cai,0.0
CHN,Snowboard,Men's Big Air,0.0,0.0,1.0,1.0,Su Yiming,0.0
CHN,Speed Skating,Men's 1500m,0.0,0.0,1.0,1.0,Zhongyan Ning,0.0
CHN,Speed Skating,Men's 1000m,0.0,1.0,0.0,1.0,Zhongyan Ning,0.0
CZE,Biathlon,Women's 12.5km Mass Start,0.0,0.0,1.0,1.0,Marketa Davidova,0.0
CZE,Snowboard,Women's Snowboard Cross,0.0,1.0,0.0,1.0,Eva Samkova,0.0
CZE,Ice Hockey,Men's Ice Hockey,1.0,0.0,0.0,1.0,Team Czechia,1.0
CZE,Speed Skating,Women's 3000m,0.0,0.0,1.0,1.0,Martina Sáblíková,0.0
EST,Speed Skating,Men's 1000m,0.0,0.0,1.0,1.0,Marten Liiv,0.0
FIN,Cross-Country Skiing,Women's 50km Mass Start,0.0,0.0,1.0,1.0,Kerttu Niskanen,0.0
FIN,Biathlon,Women's 7.5km Sprint,0.0,1.0,0.0,1.0,Suvi Minkkinen,0.0
FIN,Biathlon,Women's 10km Pursuit,0.0,0.0,1.0,1.0,Suvi Minkkinen,0.0
FIN,Ice Hockey,Women's Ice Hockey,0.0,1.0,0.0,1.0,Team Finland,0.0
FIN,Nordic Combined,Men's Team Sprint,0.0,0.0,1.0,1.0,Team Finland,0.0
FRA,Cross-Country Skiing,Women's Sprint,1.0,0.0,0.0,1.0,Lena Quintin,1.0
FRA,Cross-Country Skiing,Men's Skiathlon,0.0,1.0,0.0,1.0,Jules Lapierre,0.0
FRA,Cross-Country Skiing,Women's 4x5km Relay,1.0,0.0,0.0,1.0,Flora Dolci,1.0
FRA,Cross-Country Skiing,Women's 10km,0.0,1.0,0.0,1.0,Flora Dolci,0.0
FRA,Biathlon,Men's 10km Sprint,0.0,0.0,1.0,1.0,Eric Perrot,0.0
FRA,Biathlon,Women's 7.5km Sprint,1.0,0.0,0.0,1.0,Justine Braisaz-Bouchet,1.0
FRA,Biathlon,Women's 15km Individual,1.0,0.0,0.0,1.0,Lou Jeanmonnot,1.0
FRA,Biathlon,Women's 10km Pursuit,1.0,0.0,0.0,1.0,Julia Simon,1.0
FRA,Biathlon,Women's 12.5km Mass Start,0.0,1.0,0.0,1.0,Lou Jeanmonnot,0.0
