country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
CAN,Short Track Speed Skating,Women's 1500m,0.303,0.3,0.289,0.892,Courtney Sarault,0.182
CAN,Short Track Speed Skating,Women's 500m,0.303,0.297,0.291,0.89,Courtney Sarault,0.182
NED,Speed Skating,Women's 500m,0.287,0.296,0.307,0.89,Suzanne Schulting,0.092
CAN,Short Track Speed Skating,Women's 1000m,0.303,0.296,0.289,0.888,Courtney Sarault,0.183
USA,Bobsleigh,Women's Monobob,0.287,0.29,0.288,0.866,Kaillie Humphries,0.156
USA,Bobsleigh,Two-Woman Bobsled,0.287,0.291,0.287,0.865,Kaillie Humphries,0.156
GER,Nordic Combined,Men's Team Sprint,0.387,0.289,0.185,0.862,Team Germany,0.387
NOR,Snowboard,Men's Slopestyle,0.276,0.286,0.293,0.855,Marcus Kleveland,0.15
NOR,Snowboard,Men's Big Air,0.273,0.283,0.293,0.849,Marcus Kleveland,0.146
ITA,Speed Skating,Men's 10000m,0.35,0.28,0.217,0.848,Davide Ghiotto,0.323
NED,Speed Skating,Women's Mass Start,0.354,0.27,0.206,0.831,Marijke Groenewoud,0.32
JPN,Figure Skating,Men's Singles,0.279,0.276,0.273,0.828,Yuma Kagiyama,0.113
AUT,Snowboard,Men's Parallel Giant Slalom,0.291,0.274,0.253,0.818,Benjamin Karl,0.232
NOR,Speed Skating,Men's 1500m,0.264,0.274,0.273,0.812,Peder Kongshaug,0.15
CAN,Snowboard,Men's Big Air,0.255,0.266,0.282,0.803,Mark McMorris,0.12
CAN,Snowboard,Men's Slopestyle,0.253,0.266,0.281,0.8,Mark McMorris,0.12
USA,Alpine Skiing,Women's Slalom,0.286,0.265,0.247,0.798,Mikaela Shiffrin,0.167
USA,Speed Skating,Men's 500m,0.312,0.264,0.219,0.796,Jordan Stolz,0.264
SUI,Curling,Women's Curling,0.329,0.271,0.194,0.793,Silvana Tirinzoni,0.329
NOR,Cross-Country Skiing,Men's 4x10km Relay,0.3,0.263,0.226,0.789,Team Norway,0.267
AUT,Nordic Combined,Men's Individual Normal Hill,0.267,0.262,0.255,0.784,Johannes Lamparter,0.17
AUT,Nordic Combined,Men's Individual Large Hill,0.264,0.262,0.256,0.782,Johannes Lamparter,0.171
KOR,Short Track Speed Skating,Women's 1000m,0.263,0.259,0.253,0.776,Kim Gil-li,0.141
CAN,Freestyle Skiing,Women's Big Air,0.254,0.257,0.26,0.772,Megan Oldham,0.149
NED,Short Track Speed Skating,Women's 500m,0.264,0.256,0.252,0.772,Xandra Velzeboer,0.161
KOR,Short Track Speed Skating,Women's 500m,0.259,0.259,0.253,0.771,Kim Gil-li,0.14
