country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
NOR,Biathlon,Women's 10km Pursuit,0.14,0.143,0.145,0.428,Maren Kirkeeide,0.08
NOR,Biathlon,Women's 15km Individual,0.141,0.141,0.144,0.427,Maren Kirkeeide,0.082
NOR,Biathlon,Women's 12.5km Mass Start,0.14,0.143,0.144,0.427,Maren Kirkeeide,0.082
NOR,Ski Jumping,Women's Large Hill Individual,0.13,0.141,0.156,0.427,Anna Odine Stroem,0.067
FRA,Cross-Country Skiing,Men's Team Sprint,0.126,0.143,0.157,0.426,Team France,0.104
NOR,Biathlon,Women's 7.5km Sprint,0.139,0.142,0.145,0.426,Maren Kirkeeide,0.079
SUI,Freestyle Skiing,Men's Big Air,0.131,0.142,0.152,0.426,Andri Ragettli,0.082
NOR,Ski Jumping,Women's Normal Hill Individual,0.129,0.142,0.154,0.424,Anna Odine Stroem,0.068
USA,Ice Hockey,Women's Ice Hockey,0.143,0.141,0.138,0.422,Team USA,0.143
CAN,Ice Hockey,Women's Ice Hockey,0.143,0.139,0.139,0.421,Team Canada,0.143
CAN,Speed Skating,Women's 5000m,0.117,0.137,0.166,0.42,Isabelle Weidemann,0.065
CAN,Ice Hockey,Men's Ice Hockey,0.142,0.139,0.134,0.415,Team Canada,0.142
USA,Bobsleigh,Four-Man Bobsled,0.128,0.136,0.151,0.415,Hunter Church,0.07
FRA,Speed Skating,Men's Mass Start,0.141,0.138,0.135,0.414,Timothy Loubineaud,0.113
USA,Bobsleigh,Two-Man Bobsled,0.128,0.137,0.149,0.414,Hunter Church,0.071
AUT,Ski Jumping,Women's Normal Hill Individual,0.13,0.139,0.143,0.413,Lisa Eder,0.103
FIN,Nordic Combined,Men's Team Sprint,0.103,0.132,0.177,0.412,Team Finland,0.103
SLO,Ski Jumping,Men's Large Hill Individual,0.134,0.136,0.14,0.411,Anze Lanisek,0.079
SLO,Ski Jumping,Men's Normal Hill Individual,0.133,0.136,0.141,0.41,Anze Lanisek,0.077
SUI,Snowboard,Women's Parallel Giant Slalom,0.131,0.139,0.14,0.41,Julie Zogg,0.131
AUS,Skeleton,Women's Skeleton,0.131,0.136,0.142,0.409,Jaclyn Narracott,0.131
AUT,Ski Jumping,Women's Large Hill Individual,0.131,0.137,0.141,0.409,Lisa Eder,0.105
JPN,Nordic Combined,Men's Team Sprint,0.102,0.13,0.176,0.409,Team Japan,0.102
SLO,Snowboard,Men's Parallel Giant Slalom,0.131,0.135,0.141,0.407,Tim Mastnak,0.131
SWE,Biathlon,Men's 4x7.5km Relay,0.128,0.136,0.142,0.407,Team Sweden,0.128
FIN,Cross-Country Skiing,Women's Sprint,0.134,0.137,0.134,0.405,Kerttu Niskanen,0.065
AUS,Snowboard,Women's Slopestyle,0.131,0.136,0.137,0.404,Tess Coady,0.131
AUS,Snowboard,Women's Big Air,0.132,0.134,0.138,0.403,Tess Coady,0.132
CHN,Speed Skating,Women's 1500m,0.121,0.134,0.148,0.403,Mei Han,0.077
FIN,Cross-Country Skiing,Men's 4x10km Relay,0.125,0.133,0.141,0.399,Team Finland,0.121
AUS,Freestyle Skiing,Men's Moguls,0.138,0.133,0.125,0.397,Matt Graham,0.138
AUS,Freestyle Skiing,Men's Dual Moguls,0.138,0.131,0.126,0.395,Matt Graham,0.138
AUT,Alpine Skiing,Men's Super-G,0.116,0.132,0.145,0.394,Manuel Feller,0.039
NOR,Ski Jumping,Mixed Team,0.112,0.128,0.152,0.392,Team Norway,0.112
CZE,Ice Hockey,Men's Ice Hockey,0.131,0.13,0.131,0.391,Team Czechia,0.131
SUI,Ice Hockey,Men's Ice Hockey,0.129,0.133,0.128,0.391,Team Switzerland,0.129
FIN,Ice Hockey,Men's Ice Hockey,0.133,0.127,0.13,0.39,Team Finland,0.133
AUT,Alpine Skiing,Men's Giant Slalom,0.114,0.13,0.145,0.389,Manuel Feller,0.039
NOR,Biathlon,Women's 4x6km Relay,0.125,0.13,0.133,0.389,Team Norway,0.125
AUT,Alpine Skiing,Men's Slalom,0.114,0.13,0.143,0.388,Manuel Feller,0.037
CZE,Ice Hockey,Women's Ice Hockey,0.131,0.131,0.127,0.388,Team Czechia,0.131
FIN,Ice Hockey,Women's Ice Hockey,0.13,0.129,0.129,0.388,Team Finland,0.13
ITA,Alpine Skiing,Women's Giant Slalom,0.124,0.129,0.136,0.388,Federica Brignone,0.047
CZE,Speed Skating,Women's 5000m,0.118,0.13,0.139,0.387,Martina Sáblíková,0.118
SUI,Freestyle Skiing,Women's Big Air,0.126,0.129,0.131,0.387,Mathilde Gremaud,0.126
SUI,Freestyle Skiing,Women's Slopestyle,0.127,0.127,0.131,0.385,Mathilde Gremaud,0.127
NOR,Speed Skating,Men's 10000m,0.116,0.129,0.14,0.384,Sander Eitrem,0.116
USA,Cross-Country Skiing,Women's Sprint,0.136,0.128,0.118,0.383,Jessie Diggins,0.112
USA,Freestyle Skiing,Women's Halfpipe,0.116,0.127,0.139,0.383,Hanna Faulhaber,0.116
CHN,Snowboard,Women's Halfpipe,0.116,0.127,0.139,0.382,Xuetong Cai,0.116
USA,Ice Hockey,Men's Ice Hockey,0.128,0.127,0.127,0.382,Team USA,0.128
USA,Cross-Country Skiing,Women's Skiathlon,0.132,0.126,0.122,0.38,Jessie Diggins,0.103
USA,Cross-Country Skiing,Women's 50km Mass Start,0.132,0.126,0.121,0.379,Jessie Diggins,0.104
USA,Cross-Country Skiing,Women's 10km,0.133,0.124,0.12,0.377,Jessie Diggins,0.104
SWE,Ice Hockey,Men's Ice Hockey,0.126,0.125,0.126,0.376,Team Sweden,0.126
GER,Cross-Country Skiing,Women's Sprint,0.126,0.123,0.125,0.375,Victoria Carl,0.078
SUI,Curling,Men's Curling,0.111,0.123,0.14,0.375,Yannick Schwaller,0.111
SUI,Ice Hockey,Women's Ice Hockey,0.126,0.125,0.125,0.375,Team Switzerland,0.126
NOR,Curling,Mixed Doubles Curling,0.128,0.125,0.121,0.374,Team Norway,0.128
FIN,Cross-Country Skiing,Women's 10km,0.125,0.123,0.123,0.371,Kerttu Niskanen,0.063
USA,Cross-Country Skiing,Men's Team Sprint,0.109,0.124,0.137,0.37,Team USA,0.098
FIN,Cross-Country Skiing,Women's Skiathlon,0.124,0.122,0.122,0.368,Kerttu Niskanen,0.061
FIN,Cross-Country Skiing,Women's 50km Mass Start,0.123,0.124,0.12,0.368,Kerttu Niskanen,0.062
SWE,Ice Hockey,Women's Ice Hockey,0.121,0.123,0.123,0.367,Team Sweden,0.121
GER,Biathlon,Mixed Relay,0.115,0.123,0.127,0.365,Team Germany,0.115
CHN,Speed Skating,Men's 1500m,0.115,0.123,0.124,0.363,Zhongyan Ning,0.115
SWE,Cross-Country Skiing,Men's 50km Mass Start,0.123,0.121,0.119,0.363,Edvin Anger,0.087
AUT,Bobsleigh,Four-Man Bobsled,0.12,0.122,0.12,0.362,Benjamin Maier,0.12
SWE,Cross-Country Skiing,Men's 15km,0.12,0.124,0.118,0.362,Edvin Anger,0.084
AUT,Bobsleigh,Two-Man Bobsled,0.119,0.12,0.121,0.361,Benjamin Maier,0.119
SWE,Cross-Country Skiing,Men's Skiathlon,0.121,0.121,0.119,0.361,Edvin Anger,0.085
FRA,Cross-Country Skiing,Men's 15km,0.117,0.121,0.122,0.36,Hugo Lapalus,0.056
CAN,Speed Skating,Men's 500m,0.118,0.121,0.12,0.359,Laurent Dubreuil,0.116
FRA,Cross-Country Skiing,Men's Skiathlon,0.118,0.119,0.122,0.359,Hugo Lapalus,0.057
CHN,Speed Skating,Women's Mass Start,0.107,0.119,0.131,0.358,Binyu Yang,0.067
FRA,Cross-Country Skiing,Men's 50km Mass Start,0.117,0.118,0.123,0.358,Hugo Lapalus,0.055
GER,Cross-Country Skiing,Women's 10km,0.119,0.119,0.12,0.358,Victoria Carl,0.072
ITA,Alpine Skiing,Women's Slalom,0.115,0.12,0.123,0.358,Federica Brignone,0.044
GER,Cross-Country Skiing,Women's Skiathlon,0.12,0.118,0.116,0.355,Victoria Carl,0.072
GER,Cross-Country Skiing,Women's 50km Mass Start,0.12,0.117,0.117,0.354,Victoria Carl,0.073
BEL,Figure Skating,Women's Singles,0.118,0.117,0.116,0.352,Loena Hendrickx,0.118
SWE,Curling,Mixed Doubles Curling,0.117,0.116,0.116,0.35,Team Sweden,0.117
GER,Ski Jumping,Men's Team,0.077,0.115,0.157,0.349,Team Germany,0.077
FRA,Cross-Country Skiing,Men's Sprint,0.113,0.115,0.118,0.346,Hugo Lapalus,0.054
FRA,Cross-Country Skiing,Men's 4x10km Relay,0.104,0.114,0.122,0.341,Team France,0.096
SWE,Cross-Country Skiing,Men's Sprint,0.114,0.114,0.111,0.339,Edvin Anger,0.084
NED,Skeleton,Women's Skeleton,0.104,0.112,0.12,0.336,Kimberley Bos,0.104
RUS,Snowboard,Women's Parallel Giant Slalom,0.104,0.112,0.12,0.336,Sofia Nadyrshina,0.104
JPN,Ice Hockey,Women's Ice Hockey,0.109,0.112,0.114,0.335,Team Japan,0.109
FRA,Alpine Skiing,Men's Slalom,0.101,0.113,0.121,0.334,Alexis Pinturault,0.032
GER,Ice Hockey,Men's Ice Hockey,0.108,0.112,0.114,0.334,Team Germany,0.108
KOR,Snowboard,Men's Parallel Giant Slalom,0.101,0.112,0.121,0.334,Sangho Lee,0.101
USA,Snowboard,Men's Halfpipe,0.099,0.109,0.126,0.334,Chase Josey,0.053
FRA,Freestyle Skiing,Men's Ski Cross,0.105,0.111,0.118,0.333,Youri Duplessis Kergomard,0.097
SWE,Curling,Women's Curling,0.088,0.107,0.138,0.333,Anna Hasselborg,0.088
JPN,Nordic Combined,Men's Individual Normal Hill,0.104,0.11,0.117,0.331,Ryota Yamamoto,0.088
JPN,Nordic Combined,Men's Individual Large Hill,0.105,0.109,0.115,0.329,Ryota Yamamoto,0.089
SWE,Freestyle Skiing,Men's Ski Cross,0.097,0.108,0.123,0.328,David Mobaerg,0.056
AUT,Alpine Skiing,Men's Downhill,0.096,0.11,0.117,0.323,Manuel Feller,0.038
FRA,Alpine Skiing,Men's Giant Slalom,0.094,0.109,0.119,0.322,Alexis Pinturault,0.034
USA,Luge,Women's Singles Luge,0.094,0.105,0.124,0.322,Summer Britcher,0.055
POL,Speed Skating,Men's 500m,0.099,0.105,0.117,0.321,Marek Kania,0.055
FIN,Biathlon,Women's 7.5km Sprint,0.109,0.107,0.105,0.32,Suvi Minkkinen,0.088
FIN,Biathlon,Women's 10km Pursuit,0.108,0.106,0.106,0.32,Suvi Minkkinen,0.089
SVK,Ice Hockey,Men's Ice Hockey,0.103,0.107,0.11,0.32,Team Slovakia,0.103
FIN,Biathlon,Women's 15km Individual,0.107,0.105,0.107,0.319,Suvi Minkkinen,0.088
FIN,Biathlon,Women's 12.5km Mass Start,0.108,0.106,0.105,0.319,Suvi Minkkinen,0.087
GBR,Bobsleigh,Two-Man Bobsled,0.104,0.106,0.108,0.319,Brad Hall,0.104
NOR,Curling,Men's Curling,0.087,0.103,0.129,0.319,Magnus Ramsfjell,0.048
ITA,Speed Skating,Women's 3000m,0.098,0.108,0.111,0.317,Francesca Lollobrigida,0.097
GBR,Bobsleigh,Four-Man Bobsled,0.102,0.105,0.108,0.315,Brad Hall,0.102
SUI,Curling,Mixed Doubles Curling,0.102,0.106,0.106,0.314,Team Switzerland,0.102
CAN,Speed Skating,Men's 10000m,0.087,0.103,0.123,0.313,Graeme Fish,0.065
FRA,Alpine Skiing,Men's Super-G,0.091,0.104,0.114,0.309,Alexis Pinturault,0.034
BRA,Alpine Skiing,Men's Giant Slalom,0.095,0.102,0.111,0.308,Lucas Pinheiro Braathen,0.072
FRA,Alpine Skiing,Men's Downhill,0.091,0.103,0.114,0.308,Alexis Pinturault,0.033
USA,Cross-Country Skiing,Women's 4x5km Relay,0.088,0.101,0.116,0.305,Team USA,0.077
BRA,Alpine Skiing,Men's Slalom,0.093,0.102,0.109,0.304,Lucas Pinheiro Braathen,0.068
GER,Ice Hockey,Women's Ice Hockey,0.097,0.102,0.105,0.304,Team Germany,0.097
FRA,Short Track Speed Skating,Men's 1500m,0.099,0.1,0.104,0.303,Sebastien Lepape,0.099
GER,Biathlon,Men's 4x7.5km Relay,0.089,0.101,0.113,0.303,Team Germany,0.089
FRA,Short Track Speed Skating,Men's 500m,0.1,0.1,0.102,0.302,Sebastien Lepape,0.1
FRA,Short Track Speed Skating,Men's 1000m,0.1,0.101,0.101,0.302,Sebastien Lepape,0.1
SUI,Snowboard,Men's Halfpipe,0.093,0.101,0.104,0.298,Jan Scherrer,0.093
FIN,Nordic Combined,Men's Individual Normal Hill,0.089,0.098,0.109,0.296,Ilkka Herola,0.048
AUT,Alpine Skiing,Women's Slalom,0.092,0.1,0.103,0.295,Katharina Liensberger,0.04
CHN,Speed Skating,Women's 1000m,0.089,0.1,0.107,0.295,Mei Han,0.088
FIN,Nordic Combined,Men's Individual Large Hill,0.088,0.097,0.108,0.293,Ilkka Herola,0.047
GER,Alpine Skiing,Women's Slalom,0.096,0.096,0.101,0.293,Emma Aicher,0.06
CAN,Bobsleigh,Women's Monobob,0.088,0.095,0.104,0.287,Christine de Bruin,0.088
CAN,Speed Skating,Men's 5000m,0.082,0.093,0.11,0.286,Ted-Jan Bloemen,0.049
CAN,Bobsleigh,Two-Woman Bobsled,0.088,0.094,0.103,0.285,Christine de Bruin,0.088
CZE,Snowboard,Women's Snowboard Cross,0.088,0.094,0.103,0.285,Eva Samkova,0.088
CAN,Snowboard,Women's Slopestyle,0.087,0.094,0.103,0.284,Laurie Blouin,0.087
CAN,Snowboard,Women's Big Air,0.087,0.094,0.103,0.284,Laurie Blouin,0.087
FIN,Biathlon,Women's 4x6km Relay,0.088,0.095,0.101,0.284,Team Finland,0.088
CAN,Curling,Mixed Doubles Curling,0.091,0.093,0.097,0.281,Team Canada,0.091
ITA,Speed Skating,Women's Mass Start,0.085,0.095,0.1,0.281,Francesca Lollobrigida,0.08
ITA,Speed Skating,Women's 5000m,0.081,0.092,0.108,0.28,Francesca Lollobrigida,0.081
NOR,Curling,Women's Curling,0.068,0.089,0.119,0.276,Marianne Roervik,0.037
USA,Snowboard,Men's Big Air,0.08,0.091,0.103,0.274,Chris Corning,0.046
ITA,Biathlon,Mixed Relay,0.082,0.091,0.098,0.271,Team Italy,0.082
USA,Freestyle Skiing,Women's Slopestyle,0.084,0.089,0.098,0.271,Darian Stevens,0.084
USA,Freestyle Skiing,Women's Big Air,0.085,0.09,0.096,0.271,Darian Stevens,0.085
USA,Snowboard,Men's Slopestyle,0.08,0.089,0.102,0.271,Chris Corning,0.046
ITA,Biathlon,Women's 7.5km Sprint,0.087,0.089,0.093,0.269,Lisa Vittozzi,0.045
FIN,Cross-Country Skiing,Men's Team Sprint,0.078,0.088,0.103,0.268,Team Finland,0.064
ITA,Biathlon,Women's 10km Pursuit,0.087,0.089,0.092,0.268,Lisa Vittozzi,0.045
ITA,Biathlon,Women's 12.5km Mass Start,0.087,0.089,0.091,0.268,Lisa Vittozzi,0.045
ITA,Biathlon,Women's 15km Individual,0.087,0.09,0.09,0.267,Lisa Vittozzi,0.045
USA,Skeleton,Men's Skeleton,0.078,0.087,0.097,0.263,Austin Florian,0.078
CAN,Ski Jumping,Women's Normal Hill Individual,0.08,0.085,0.09,0.255,Abigail Strate,0.07
CAN,Ski Jumping,Women's Large Hill Individual,0.078,0.085,0.091,0.254,Abigail Strate,0.068
FIN,Biathlon,Men's 4x7.5km Relay,0.073,0.083,0.094,0.25,Team Finland,0.073
GER,Freestyle Skiing,Women's Ski Cross,0.081,0.082,0.087,0.249,Daniela Maier,0.081
ITA,Figure Skating,Men's Singles,0.082,0.083,0.084,0.249,Daniel Grassl,0.082
RUS,Freestyle Skiing,Women's Halfpipe,0.072,0.081,0.096,0.248,Valeriya Demidova,0.072
USA,Curling,Mixed Doubles Curling,0.078,0.084,0.086,0.248,Team USA,0.078
GEO,Figure Skating,Men's Singles,0.078,0.079,0.081,0.238,Nika Egadze,0.078
JPN,Ski Jumping,Men's Team,0.051,0.077,0.111,0.238,Team Japan,0.051
FRA,Freestyle Skiing,Men's Moguls,0.075,0.079,0.081,0.235,Benjamin Cavet,0.075
FRA,Freestyle Skiing,Men's Dual Moguls,0.075,0.079,0.081,0.235,Benjamin Cavet,0.075
ITA,Cross-Country Skiing,Men's Team Sprint,0.066,0.08,0.089,0.235,Team Italy,0.053
ITA,Biathlon,Women's 4x6km Relay,0.07,0.076,0.087,0.234,Team Italy,0.07
JPN,Ski Jumping,Men's Normal Hill Individual,0.076,0.078,0.08,0.234,Ryoyu Kobayashi,0.06
GER,Alpine Skiing,Women's Super-G,0.075,0.078,0.079,0.232,Emma Aicher,0.072
JPN,Ski Jumping,Men's Large Hill Individual,0.076,0.077,0.079,0.232,Ryoyu Kobayashi,0.06
POL,Short Track Speed Skating,Women's 1500m,0.071,0.077,0.084,0.232,Natalia Maliszewska,0.071
BRA,Alpine Skiing,Men's Super-G,0.072,0.078,0.081,0.231,Lucas Pinheiro Braathen,0.072
GER,Alpine Skiing,Women's Downhill,0.076,0.079,0.077,0.231,Emma Aicher,0.075
ITA,Curling,Men's Curling,0.065,0.075,0.09,0.23,Joel Retornaz,0.065
CAN,Freestyle Skiing,Women's Aerials,0.071,0.077,0.081,0.229,Marion Thenault,0.071
GER,Snowboard,Women's Snowboard Cross,0.069,0.076,0.084,0.229,Hanna Ihedioha,0.069
POL,Short Track Speed Skating,Women's 500m,0.071,0.077,0.082,0.229,Natalia Maliszewska,0.071
KAZ,Figure Skating,Men's Singles,0.076,0.076,0.077,0.228,Mikhail Shaidorov,0.076
FIN,Biathlon,Mixed Relay,0.069,0.074,0.084,0.227,Team Finland,0.069
SUI,Figure Skating,Men's Singles,0.075,0.076,0.077,0.227,Lukas Britschgi,0.075
CHN,Speed Skating,Men's 1000m,0.069,0.075,0.082,0.226,Zhongyan Ning,0.068
GER,Biathlon,Men's 20km Individual,0.071,0.075,0.08,0.226,Philipp Nawrath,0.034
GER,Biathlon,Men's 15km Mass Start,0.071,0.076,0.079,0.226,Philipp Nawrath,0.033
JPN,Speed Skating,Men's 1500m,0.063,0.075,0.088,0.226,Taiyo Nonomura,0.022
POL,Short Track Speed Skating,Women's 1000m,0.071,0.074,0.081,0.226,Natalia Maliszewska,0.071
BRA,Alpine Skiing,Men's Downhill,0.07,0.076,0.079,0.225,Lucas Pinheiro Braathen,0.07
GER,Biathlon,Men's 12.5km Pursuit,0.072,0.075,0.078,0.225,Philipp Nawrath,0.033
GER,Biathlon,Men's 10km Sprint,0.071,0.075,0.079,0.224,Philipp Nawrath,0.034
LAT,Luge,Men's Singles Luge,0.066,0.074,0.081,0.221,Kristers Aparjods,0.066
CHN,Short Track Speed Skating,Men's 500m,0.07,0.073,0.077,0.22,Ren Ziwei,0.07
FRA,Freestyle Skiing,Women's Slopestyle,0.068,0.073,0.08,0.22,Tess Ledeux,0.068
CZE,Speed Skating,Women's 3000m,0.065,0.074,0.081,0.219,Martina Sáblíková,0.063
FRA,Freestyle Skiing,Women's Big Air,0.067,0.072,0.081,0.219,Tess Ledeux,0.067
JPN,Curling,Women's Curling,0.056,0.069,0.092,0.218,Satsuki Fujisawa,0.056
NOR,Alpine Skiing,Women's Downhill,0.067,0.072,0.079,0.218,Kajsa Vickhoff Lie,0.03
JPN,Speed Skating,Men's 1000m,0.063,0.072,0.082,0.217,Ryota Kojima,0.026
CHN,Short Track Speed Skating,Men's 1000m,0.067,0.071,0.076,0.215,Ren Ziwei,0.067
CHN,Short Track Speed Skating,Men's 1500m,0.067,0.073,0.075,0.215,Ren Ziwei,0.067
USA,Luge,Men's Singles Luge,0.06,0.071,0.082,0.213,Chris Mazdzer,0.033
GER,Biathlon,Women's 15km Individual,0.066,0.072,0.073,0.212,Franziska Preuss,0.032
KOR,Speed Skating,Men's Mass Start,0.068,0.07,0.073,0.211,Seung-Hoon Lee,0.057
SUI,Ski Jumping,Men's Large Hill Individual,0.07,0.07,0.07,0.21,Gregor Deschwanden,0.07
USA,Cross-Country Skiing,Men's 15km,0.068,0.068,0.073,0.209,Ben Ogden,0.034
USA,Cross-Country Skiing,Men's 50km Mass Start,0.068,0.069,0.072,0.209,Ben Ogden,0.034
CAN,Speed Skating,Women's 1500m,0.06,0.069,0.08,0.208,Ivanie Blondin,0.034
GER,Biathlon,Women's 10km Pursuit,0.065,0.069,0.074,0.208,Franziska Preuss,0.032
GER,Biathlon,Women's 12.5km Mass Start,0.065,0.069,0.074,0.208,Franziska Preuss,0.031
KOR,Curling,Mixed Doubles Curling,0.064,0.069,0.075,0.208,Team South Korea,0.064
SUI,Ski Jumping,Men's Normal Hill Individual,0.068,0.07,0.07,0.208,Gregor Deschwanden,0.068
USA,Cross-Country Skiing,Men's Skiathlon,0.067,0.069,0.072,0.207,Ben Ogden,0.033
USA,Speed Skating,Men's 5000m,0.061,0.068,0.078,0.207,Casey Dawson,0.061
GER,Alpine Skiing,Women's Giant Slalom,0.068,0.069,0.069,0.206,Emma Aicher,0.067
GER,Biathlon,Women's 7.5km Sprint,0.065,0.069,0.072,0.206,Franziska Preuss,0.032
NOR,Alpine Skiing,Women's Super-G,0.062,0.069,0.075,0.206,Kajsa Vickhoff Lie,0.03
KOR,Speed Skating,Women's 500m,0.064,0.068,0.072,0.205,Min Sun Kim,0.051
RUS,Freestyle Skiing,Men's Aerials,0.062,0.068,0.074,0.205,Maxim Burov,0.062
USA,Cross-Country Skiing,Men's Sprint,0.065,0.067,0.072,0.204,Ben Ogden,0.033
ITA,Cross-Country Skiing,Men's 50km Mass Start,0.068,0.068,0.067,0.203,Federico Pellegrino,0.065
AUT,Alpine Skiing,Women's Super-G,0.063,0.067,0.072,0.202,Cornelia Huetter,0.04
ITA,Cross-Country Skiing,Men's Skiathlon,0.068,0.067,0.066,0.201,Federico Pellegrino,0.065
ITA,Cross-Country Skiing,Men's 15km,0.068,0.066,0.067,0.201,Federico Pellegrino,0.065
USA,Curling,Men's Curling,0.056,0.066,0.08,0.201,Korey Dropkin,0.056
USA,Biathlon,Men's 4x7.5km Relay,0.057,0.066,0.078,0.201,Team USA,0.057
AUS,Freestyle Skiing,Women's Dual Moguls,0.054,0.065,0.078,0.198,Jakara Anthony,0.054
ITA,Cross-Country Skiing,Men's Sprint,0.066,0.066,0.066,0.198,Federico Pellegrino,0.063
UKR,Skeleton,Men's Skeleton,0.057,0.065,0.075,0.198,Vladyslav Heraskevych,0.057
AUS,Freestyle Skiing,Women's Moguls,0.055,0.065,0.077,0.197,Jakara Anthony,0.055
GBR,Skeleton,Women's Skeleton,0.059,0.064,0.075,0.197,Amelia Coltman,0.059
GER,Speed Skating,Men's Mass Start,0.062,0.064,0.068,0.194,Fridtjof Petzold,0.048
ITA,Luge,Men's Singles Luge,0.057,0.064,0.073,0.194,Dominik Fischnaller,0.057
NOR,Alpine Skiing,Women's Giant Slalom,0.059,0.064,0.07,0.193,Kajsa Vickhoff Lie,0.028
USA,Short Track Speed Skating,Women's 1000m,0.058,0.063,0.069,0.19,Kristen Santos-Griswold,0.058
USA,Short Track Speed Skating,Women's 1500m,0.058,0.062,0.069,0.189,Kristen Santos-Griswold,0.058
GER,Snowboard,Men's Snowboard Cross,0.054,0.062,0.072,0.188,Leon Ulbricht,0.054
SUI,Biathlon,Women's 4x6km Relay,0.054,0.063,0.071,0.188,Team Switzerland,0.054
NOR,Speed Skating,Women's 5000m,0.052,0.061,0.074,0.187,Ragne Wiklund,0.052
SUI,Biathlon,Mixed Relay,0.055,0.062,0.07,0.187,Team Switzerland,0.055
USA,Short Track Speed Skating,Women's 500m,0.058,0.062,0.068,0.187,Kristen Santos-Griswold,0.058
AUT,Alpine Skiing,Women's Giant Slalom,0.058,0.062,0.066,0.186,Cornelia Huetter,0.036
CAN,Snowboard,Women's Halfpipe,0.052,0.061,0.073,0.186,Elizabeth Hosking,0.052
GER,Freestyle Skiing,Women's Halfpipe,0.052,0.061,0.073,0.186,Sabrina Cakmakli,0.052
USA,Speed Skating,Women's 1500m,0.053,0.062,0.069,0.184,Brittany Bowe,0.043
ITA,Cross-Country Skiing,Men's 4x10km Relay,0.052,0.059,0.07,0.182,Team Italy,0.051
GBR,Snowboard,Women's Slopestyle,0.053,0.06,0.068,0.181,Mia Brookes,0.053
SUI,Bobsleigh,Women's Monobob,0.053,0.06,0.068,0.181,Melanie Hasler,0.053
GBR,Snowboard,Women's Big Air,0.053,0.059,0.067,0.18,Mia Brookes,0.053
SUI,Snowboard,Women's Snowboard Cross,0.052,0.06,0.068,0.18,Lara Casanova,0.052
SUI,Bobsleigh,Two-Woman Bobsled,0.054,0.059,0.068,0.18,Melanie Hasler,0.054
JPN,Curling,Mixed Doubles Curling,0.055,0.059,0.064,0.178,Team Japan,0.055
USA,Curling,Women's Curling,0.046,0.056,0.077,0.178,Tabitha Peterson,0.046
FIN,Cross-Country Skiing,Men's Sprint,0.056,0.059,0.061,0.177,Iivo Niskanen,0.024
AUT,Alpine Skiing,Women's Downhill,0.052,0.058,0.062,0.172,Cornelia Huetter,0.04
KOR,Skeleton,Men's Skeleton,0.05,0.058,0.065,0.172,Seunggi Jung,0.05
NOR,Alpine Skiing,Women's Slalom,0.054,0.057,0.06,0.171,Kajsa Vickhoff Lie,0.025
NOR,Freestyle Skiing,Women's Slopestyle,0.051,0.058,0.062,0.171,Johanne Killi,0.051
NOR,Freestyle Skiing,Women's Big Air,0.05,0.058,0.064,0.171,Johanne Killi,0.05
UKR,Freestyle Skiing,Men's Aerials,0.05,0.058,0.062,0.169,Mykola Puzderko,0.05
SUI,Speed Skating,Men's Mass Start,0.054,0.056,0.058,0.168,Livio Wenger,0.054
JPN,Freestyle Skiing,Women's Moguls,0.044,0.056,0.066,0.166,Anri Kawamura,0.044
JPN,Freestyle Skiing,Women's Dual Moguls,0.045,0.056,0.065,0.166,Anri Kawamura,0.045
KOR,Speed Skating,Men's 500m,0.05,0.056,0.06,0.166,Jun-Ho Kim,0.05
UKR,Biathlon,Men's 4x7.5km Relay,0.048,0.054,0.064,0.166,Team Ukraine,0.048
CAN,Figure Skating,Men's Singles,0.052,0.054,0.057,0.164,Keegan Messing,0.052
POL,Speed Skating,Women's 1000m,0.044,0.055,0.065,0.164,Natalia Jabrzyk,0.023
SUI,Speed Skating,Women's Mass Start,0.046,0.054,0.061,0.162,Kaitlyn McGregor,0.026
RUS,Freestyle Skiing,Women's Aerials,0.048,0.053,0.058,0.159,Liubov Nikitina,0.048
GER,Speed Skating,Women's Mass Start,0.045,0.053,0.06,0.158,Michelle Uhrig,0.033
FIN,Cross-Country Skiing,Men's 50km Mass Start,0.048,0.051,0.054,0.154,Iivo Niskanen,0.024
FIN,Cross-Country Skiing,Men's Skiathlon,0.048,0.051,0.053,0.152,Iivo Niskanen,0.024
HUN,Curling,Mixed Doubles Curling,0.046,0.05,0.055,0.152,Team Hungary,0.046
USA,Biathlon,Mixed Relay,0.045,0.05,0.058,0.152,Team USA,0.045
USA,Speed Skating,Men's 10000m,0.042,0.051,0.06,0.152,Casey Dawson,0.042
BEL,Short Track Speed Skating,Women's 500m,0.046,0.05,0.055,0.151,Hanne Desmet,0.046
CAN,Bobsleigh,Two-Man Bobsled,0.046,0.05,0.055,0.151,Justin Kripps,0.046
CAN,Bobsleigh,Four-Man Bobsled,0.045,0.051,0.055,0.151,Justin Kripps,0.045
BEL,Short Track Speed Skating,Women's 1000m,0.045,0.05,0.055,0.15,Hanne Desmet,0.045
FIN,Cross-Country Skiing,Men's 15km,0.048,0.05,0.052,0.15,Iivo Niskanen,0.024
BEL,Short Track Speed Skating,Women's 1500m,0.046,0.049,0.054,0.149,Hanne Desmet,0.046
